,LogReturn
AAL,-0.8662162176169503
ACGL,0.9440721832001127
ADI,0.7733715455162926
ADSK,0.43194465334274756
AES,0.5673843893110893
AFL,0.6235819873544171
AIG,0.27061668731935873
ALB,0.8569578820129076
ALGN,0.005883428787403666
ALK,-0.25663866905260013
AMAT,1.1602198989071772
AMD,1.8138676934215114
AMP,1.0072063908172595
APA,0.023197807137046667
APTV,0.13396806160746877
AVGO,1.5808797169092408
AXON,0.9406267582024883
AXP,0.5664916542309442
BA,-0.3717191754392468
BAC,0.10848410993001423
BBWI,0.4896612590704983
BBY,0.2229198659248075
BEN,0.06354144599144584
BK,-0.011078205076249237
BKNG,0.3249106971144089
BKR,0.21568668468631813
BLK,0.5179966240917091
BWA,0.13772441729546658
BXP,-0.45993570953464324
C,-0.286917764896645
CBRE,0.5167474232948934
CCL,-1.1404284973486005
CDAY,0.6916671653573694
CDW,0.8928556561169518
CE,0.17823208753152908
CF,0.6349963109711414
CFG,-0.04685828424644223
CMA,-0.40197927779704834
COF,0.23596672405306052
COP,0.6556335951625405
CTAS,0.9313086956271652
CVX,0.4807123399687159
CZR,0.22002658659263385
DAL,-0.16403534275247988
DD,-0.10200036844110993
DE,1.1568684135358263
DFS,0.4439550391450551
DHI,1.0890454090520132
DIS,-0.2653288772212168
DOV,0.6275782966366208
DRI,0.5321019950787065
DVN,0.41898265042951666
DXC,-1.4538433075341244
EMN,-0.018207735426996052
EMR,0.42309911468473516
ENPH,3.27085911146604
EOG,0.28136512488012766
EPAM,0.6545336204152115
ETN,1.0841573562693876
ETSY,0.7022116577833923
EXPE,-0.26601883124815107
F,0.47610293436727336
FANG,0.29193891961598606
FCX,1.0678164310991431
FDX,0.16549849788349125
FICO,1.4064025041884776
FITB,0.14115534962367926
FLT,0.12062797655315016
FMC,0.2754928775391594
FRT,-0.03724896605977701
GE,0.38050585527314773
GL,0.3059907111309199
GLW,0.15216834517783573
GM,0.05939212827841178
GNRC,0.702340858116786
GPN,0.0337854109908049
GS,0.5168748495851867
HAL,0.03770975935223042
HBAN,-0.028332585177104797
HCA,0.7783791686712522
HES,0.9215091501265631
HIG,0.43166377355926944
HLT,0.6647281235647702
HPE,0.23728099510629042
HPQ,0.4863599080544194
HST,-0.11587463855332558
HWM,0.8296285973541409
INTU,0.9134661257802543
IP,-0.08091586488145852
IPG,0.6164829666720975
IQV,0.5582924122798127
IR,0.8555155624581783
ISRG,0.5794602121650998
IVZ,-0.19478005477345484
JPM,0.4395505397519299
KEY,-0.37712158186868017
KIM,0.3846426920779855
KLAC,1.5092966315734175
KMI,0.2971337527823894
KMX,0.09666023332081242
LEN,0.9168887099837257
LKQ,0.5191866010377946
LNC,-0.7254735167836577
LRCX,1.3737197007121873
LUV,-0.5322713928716851
LVS,-0.072206358088029
LYB,0.14259517080986495
LYV,0.5544148474095905
MA,0.6852318638200714
MAR,0.4704633343549842
MCHP,0.6981327620506379
MET,0.5088701709403374
MGM,0.49818057135513927
MHK,-0.5856882396086522
MLM,0.8086569653064286
MOS,0.3375428613758116
MPC,0.7296246703255962
MPWR,1.3880359937611404
MRO,0.3055012499393768
MS,0.7280057273776697
MTB,-0.08351954696915609
MU,0.26510445382357517
NCLH,-1.0058166488411993
NDSN,0.6692374339325156
NTAP,0.11243353974552672
NTRS,-0.172557059438895
NUE,1.1122685934037024
NVDA,1.9717868556854468
NWL,-0.6689526850879788
NWS,0.3294537141243641
NXPI,0.8687301476147518
OKE,0.3314761897545955
ON,1.5505833575728984
OXY,-0.1506939128751501
PARA,-1.12850541849985
PAYC,0.787904471716292
PFG,0.5435526037544851
PH,0.95034624385731
PHM,1.1047998424183163
PNC,0.08737531237265728
PNR,0.5279311792518944
PRU,0.20767430478593685
PSX,0.10804763361427483
PWR,1.76207658754595
PXD,0.45730520730969726
PYPL,-0.2779863392699209
QCOM,0.6989191749102863
QRVO,0.22622743623954022
RCL,-0.01988565750409954
REG,0.21171349687849972
RF,0.24142544317030445
RHI,0.07006010877015711
RJF,0.6591067188669193
RL,0.11323768820262892
ROK,0.6085933303008435
ROST,0.2812646309214104
RTX,0.1243534984342558
SCHW,0.3355647250446374
SEDG,1.3983983173331183
SLB,0.023028027399456974
SPG,-0.14891399160431895
STLD,1.005055989882898
STT,-0.02598357610638491
SWK,-0.27043087767109064
SWKS,0.20970361155417017
SYF,0.26016135363768456
SYY,0.21122903988544728
TDG,1.0217082446793686
TEL,0.48879999050552136
TER,0.9148130347491237
TFC,-0.277426458830937
TPR,0.04147559147178104
TRGP,0.6702628394643932
TRMB,0.30164776951000816
TROW,0.17067296547587407
TSLA,2.402449017889219
TXT,0.14668563802916257
UAL,-0.4533735428167134
UHS,0.11396089222243777
ULTA,0.6200336869024063
URI,1.126340573603196
USB,-0.12002589873429059
VFC,-1.3769947595999268
VICI,0.7190822804838666
VLO,0.3150071427487884
VTR,0.028882371875138535
WAB,0.057581745641340554
WBD,-0.770329986492325
WDC,-0.3920834937841171
WELL,0.4417727291543665
WFC,-0.12307392615736523
WHR,0.2385184508874163
WMB,0.4174186641754023
WRK,-0.33209589967990283
WY,0.17938999769614394
WYNN,-0.28905633812325426
XOM,0.5455636194353817
ZBRA,0.5364916697974405
ZION,-0.22083354990166226
