,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
PH,,4.48,65.98,,,53.14,,,,,,5.43,,3.63,2.0,,374.15,,21.07,,,,,2.96,18.32,329.91
PNR,0.5265,1.39,13.61,4.17,0.9113,11.54,0.16443000000000002,0.1888,0.0864,0.1182,0.017,3.93,25.31,3.27,1.96,1.48,62.62,2.99,17.09,0.86,1.15,0.88,17.78,2.78,18.9,53.42
POOL,0.8329,1.93,16.54,5.78,0.88253,15.12,0.03779,0.1462,0.1381,0.1032,-0.09699999999999999,10.37,148.32,2.86,,2.72,356.25,15.16,18.73,1.36,0.98,4.4,37.35,2.63,28.82,342.31
PWR,,2.53,33.47,,,29.31,,,,,,5.32,,1.91,1.33,,190.33,,22.99,,,,,1.71,28.25,162.58
RHI,,3.09,7.64,,,7.97,,,,,,4.9,,1.1,5.14,,74.3,,8.44,,,,,1.15,19.23,75.85
ROK,0.9345,3.1,39.59,8.62,1.77,35.72,0.11454,0.17870000000000003,0.08539999999999999,0.16510000000000002,0.13699999999999998,11.32,75.02,4.74,2.39,1.12,316.32,11.35,20.41,3.87,1.44,4.72,29.11,4.31,23.04,283.16
RSG,3.39,5.46,60.05,14.43,4.12,48.12,0.20611000000000002,0.18420000000000003,0.057300000000000004,0.1091,0.091,4.72,45.58,4.16,3.08,0.76,147.78,4.78,15.14,0.57,0.66,2.14,32.25,3.34,29.33,136.54
RTX,5.26,13.67,159.57,70.57,12.09,128.04,1.33,0.1121,0.0308,0.0788,0.12300000000000001,1.77,48.21,2.26,5.52,1.1,95.31,3.74,13.1,3.7,0.71,2.36,49.73,1.84,17.54,97.04
SNA,0.9124,2.45,14.93,4.99,1.4,14.55,0.051930000000000004,0.2621,0.1161,0.19530000000000003,0.05,3.06,94.2,3.22,2.12,3.67,274.11,18.03,10.46,16.46,1.11,6.48,89.93,3.21,15.15,248.66
SWK,0.2036,4.41,23.47,16.2,0.9657000000000001,15.92,0.15283000000000002,0.0219,0.008199999999999999,0.0487,-0.053,1.68,109.59,1.43,,1.28,90.25,-1.15,33.54,2.55,1.36,3.24,62.22,0.97,111.11,83.42
TDG,,3.11,67.02,,,49.58,,,,,,,,11.37,2.92,,849.22,,24.35,,,,,8.76,32.26,725.99
TT,1.8,4.96,49.53,16.82,2.89,45.39,0.22954,0.1542,0.0886,0.1118,0.12300000000000001,7.52,73.16,3.04,2.33,1.19,185.61,7.79,17.8,2.88,1.21,3.0,27.26,2.85,23.42,178.07
TXT,,2.06,17.22,,,15.44,,,,,,2.19,,1.31,,,67.15,,11.05,,,,,1.23,14.45,68.85
UAL,8.84,13.19,34.17,50.88,7.72,17.47,0.32627,0.10470000000000002,0.0463,0.0524,0.171,2.27,155.47,0.67,0.14,0.91,52.64,7.85,6.59,58.35,1.42,,23.49,0.35,4.99,46.76
UNP,,13.37,175.12,,,141.09,,,,,,10.69,,7.07,3.34,,206.88,,14.22,,,,,5.74,21.55,203.97
UPS,11.98,25.09,176.32,98.89,16.05,159.32,0.7243200000000001,0.1294,0.1124,0.109,-0.06,7.95,113.92,1.78,2.63,1.34,177.68,12.36,9.83,10.94,1.08,6.48,23.33,1.63,17.24,179.41
URI,4.62,5.02,44.97,13.19,4.11,32.37,0.06794,0.2812,0.1001,0.1734,0.28300000000000003,4.37,190.17,3.41,1.33,0.75,414.76,31.07,7.31,3.32,1.89,5.92,108.58,2.5,12.02,385.51
VRSK,1.09,1.67,36.04,2.43,1.26,33.19,0.14396,0.4581,0.1178,0.207,-0.096,485.22,15.96,14.39,,1.07,225.0,4.86,26.09,2.13,,1.36,2.03,14.34,41.49,194.07
WAB,0.704,2.58,25.38,8.99,1.59,21.35,0.17694000000000001,0.1292,0.038900000000000004,0.07540000000000001,0.17500000000000002,2.1,49.85,2.82,,1.12,105.85,3.59,16.35,2.07,1.5,0.66,56.88,2.4,21.37,101.11
WM,4.3,7.4,81.05,20.02,5.6,65.83,0.40406000000000003,0.17600000000000002,0.0713,0.1142,0.018000000000000002,9.53,48.95,4.05,2.83,0.82,166.12,5.56,14.75,0.36,0.71,2.8,17.07,3.34,27.03,160.73
XYL,0.5730000000000001,2.09,27.91,6.06,0.937,26.8,0.23991,0.1101,0.034300000000000004,0.0581,0.262,7.49,32.45,4.9,2.52,1.64,109.57,2.05,37.11,2.94,1.08,1.32,41.13,3.56,33.9,106.44
AAPL,109.58,170.78,3130.0,385.1,123.79,3080.0,15.71,0.2916,0.2056,0.24489999999999998,-0.025,49.5,24.12,8.13,2.68,0.94,186.54,5.89,24.71,3.55,1.29,0.96,3.95,8.15,29.67,159.55
ACN,9.9,19.7,197.02,63.55,10.84,202.47,0.62991,0.1535,0.1267,0.1127,0.025,7.99,100.69,3.1,2.99,1.37,309.85,11.21,16.92,13.54,1.22,4.48,40.16,3.23,25.77,284.53
ADBE,7.86,15.44,247.79,18.43,6.82,250.28,0.45443,0.33640000000000003,0.1431,0.2634,0.098,16.87,39.84,13.45,2.07,1.16,477.83,10.51,34.43,14.48,1.34,,32.54,13.81,31.06,379.37
ADI,4.89,7.8,105.57,12.87,6.76,100.02,0.49939,0.34520000000000006,0.0553,0.2816,0.098,2.78,25.22,8.2,2.04,1.79,188.42,7.04,15.99,2.35,1.15,3.44,71.82,7.97,19.76,176.92
ADSK,2.36,4.58,45.96,5.1,1.09,45.41,0.21329,0.201,0.07400000000000001,0.1642,0.085,50.62,23.68,9.0,1.22,0.72,207.37,3.86,39.79,9.97,1.52,,4.19,9.04,29.07,203.35
AKAM,1.29,2.24,16.79,3.63,1.12,14.31,0.14937,0.1942,0.0534,0.1343,0.013000000000000001,3.43,22.99,4.63,1.45,2.03,91.43,3.09,13.75,4.94,0.78,,27.31,4.11,16.42,85.55
AMAT,6.89,11.99,129.19,26.64,8.32,128.17,0.83623,0.2942,0.1796,0.2436,0.062000000000000006,9.07,31.28,4.85,4.76,2.26,139.29,7.59,15.6,6.07,1.58,1.28,16.83,4.9,20.2,116.59
AMD,2.4,12.05,186.29,21.88,3.1,189.38,1.6,-0.0173,-0.0034999999999999996,-0.0011,-0.182,3.46,13.55,8.08,1.91,2.18,115.79,0.18,38.01,3.9,1.82,,34.2,8.27,41.49,87.96
ANET,0.98315,2.68,53.53,5.26,1.97,57.22,0.2514,0.36119999999999997,0.1696,0.3248,0.387,9.77,17.16,10.17,1.92,4.14,162.11,4.75,27.11,12.08,1.23,,18.93,11.13,32.05,142.53
ANSS,0.62476,1.88,29.54,2.17,0.73882,29.18,0.08654,0.2841,0.060599999999999994,0.24120000000000003,0.048,6.1,24.99,13.74,4.59,2.2,328.82,6.4,38.55,5.51,,,56.64,13.69,40.0,286.27
