,LogReturn
SPGI,0.7092048796922334
SRE,0.3641838331954652
STE,0.6941580090675963
STX,0.4401307737697957
STZ,0.29649902994165167
SYK,0.5696835507818756
T,-0.14655138037225512
TAP,0.06319662361214551
TDY,0.512442710929105
TECH,0.6892150401218604
TFX,0.00047336639108763734
TGT,0.6085184307454403
TJX,0.6347084173331972
TMO,0.8726916881014581
TMUS,0.7855731070218743
TRV,0.3865721432186131
TSCO,1.1359890741880188
TSN,0.09079165013557589
TT,1.083017925580017
TTWO,0.16823145274793827
TXN,0.5485836887873266
TYL,0.5238769522706459
UDR,0.1811782154390058
UNH,0.7435862146947665
UNP,0.5391628264528325
UPS,0.5897320893288374
V,0.5582024363131977
VMC,0.7189420981912269
VRSK,0.735373015714675
VRSN,0.3178515028558291
VRTX,0.6999704593059652
VTRS,-1.2238030172889127
VZ,-0.22180931744829424
WAT,0.41291229073256464
WBA,-0.5959298473515502
WEC,0.42934489929708075
WM,0.6789603355430689
WMT,0.6584404448483463
WRB,0.7082201035892641
WST,1.18670073809165
WTW,0.43946658283393436
XEL,0.404922079900607
XRAY,-0.1455196431905219
XYL,0.41907626203790027
YUM,0.5879665316355256
ZBH,0.07252706716883495
ZTS,0.7208763144354906
