,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3,LogReturn,Cost_of_Equity
CTRA,0.07591785936527692,0.14109145474648555,0.004717796952168649,0.013451062719052356,0.07739693571315748,0.005374526111808352,0.04468520152424312,0.8961566888396155,0.5451916124367319,0.8036060488561457,0.18346429791595492,0.001063669660328132,3.5933314427877814e-05,0.11764705882352941,0.09424326833797585,0.09776704888352443,0.002548256681948499,0.06618562315232612,0.4823105090718867,1.3874959970740483e-05,0.10687022900763359,0.13622754491017963,0.0007261016372208553,0.12176724137931036,0.04409825658055379,0.0028794166199700134,0.5630386486805017,1.8863089324442348
EQT,0.06418348297626456,0.14930500710788183,0.0034430629487992525,0.013064767799653033,0.07463275943768756,0.0034757219682535552,0.022773888233204614,0.8701650652870164,0.4919257652446373,0.7826677006591702,0.0,0.0006723195022828759,9.452727759405696e-05,0.0980392156862745,0.010677808727948001,0.06457453228726615,0.004820713710050337,0.07353742025828536,0.48140194377908085,3.6962893362052645e-05,0.8167938931297709,0.023952095808383228,0.0007735066821864079,0.09806034482758622,0.06680666113200175,0.004846355389298642,0.5921151329649336,12.756912044134339
AEE,0.048093163836785496,0.12411151476859894,0.009598939216326844,0.0115034925004141,0.04651713789290791,0.005803707870283064,0.016550616916144983,0.4454299088445429,0.2174017835623042,0.6820860798759208,0.2770755039289375,0.0015152275349957353,0.00012218251829916756,0.22724987430869784,0.0575673166202414,0.03500301750150875,0.012155002708451691,0.06414345728955967,0.5055477547424354,0.0,0.2549618320610687,0.16766467065868262,0.0007951693512191514,0.13954741379310345,0.07745275186794941,0.014190734374290088,0.574124053686975,4.153940119183892
AEP,0.06302782469552849,0.14413204864950244,0.02551389716291613,0.0301583179830731,0.07613331227294265,0.01265110774412964,0.03267599393460217,0.40958364129095826,0.2084839720414558,0.6667312911981388,0.23641954219337208,0.0012242235713210577,0.00015751463184215163,0.21970839617898444,0.054549675023212625,0.034399517199758596,0.012366394059903025,0.06352108293138323,0.5095124032928607,1.065596925752869e-05,0.23664122137404575,0.22754491017964068,0.00081143071815885,0.11368534482758622,0.06011622796308051,0.015069136288600467,0.5400599541826088,3.873408425978985
ATO,0.054938216730376035,0.11806981519507186,0.005179007244845013,0.005918311790765546,0.03506555046596114,0.004262555192123865,0.008733969156102509,0.46033505789603346,0.2195709809592673,0.7009305932531988,0.19200546634779642,0.0011238773769504792,0.0001248185529483169,0.2579185520361991,0.052228412256267405,0.04948702474351237,0.017855963217904846,0.06723587988174887,0.5138900360672888,3.884988791807336e-06,0.31603053435114503,0.20059880239520955,0.0008849229030205977,0.1961206896551724,0.07408311764418615,0.019695891199321514,0.5614994418531818,5.089045763200245
AWK,0.04035914303493644,0.11960985626283367,0.01018506062993639,0.005338869411666561,0.03940925604169957,0.00771876889862857,0.012287395965822935,0.6245380635624537,0.2280067486141239,0.7127956572314851,0.31465664502904,0.002317997089960363,8.30119683372467e-05,0.4856711915535445,0.08565459610027853,0.06578153289076642,0.02232986299198034,0.06488252683989419,0.5220946559841413,4.88398590970065e-05,0.32061068702290074,0.19086826347305388,0.0008212852214456285,0.35129310344827586,0.13014601748302973,0.02586363567523361,0.6278930313141409,5.159178686501471
CMS,0.03920348475420038,0.12182119728320959,0.007946269000903203,0.011921978663096702,0.04051492655188753,0.00430807446953785,0.018394171921689656,0.36757822123675776,0.21137623523740662,0.662310973245444,0.1913221728732491,0.0019667854096633384,0.0001121008419217192,0.1950729009552539,0.054781801299907146,0.054918527459263726,0.008260777655934151,0.06056480473004512,0.508769031689656,1.4429958369570103e-05,0.16793893129770987,0.12499999999999997,0.000746299059409209,0.10991379310344829,0.07725741075352834,0.009486362053037304,0.5426900971893251,2.8214145764605876
CNP,0.05529380389367944,0.12501974411625336,0.008923138023585781,0.01374078390860185,0.044068867477491704,0.004626709411435743,0.039985918702789135,0.39024390243902435,0.21450952036635337,0.6597518417991469,0.24427741715066623,0.0013546736240028095,5.0408381887241735e-05,0.18753142282554047,0.05338904363974001,0.05069402534701267,0.0032187636248331986,0.05848374046989264,0.5067591751328432,1.2764963173081243e-05,0.564885496183206,0.03592814371257485,0.0007217058966876859,0.10183189655172413,0.07911315134052839,0.003604476820790865,0.5004070952770374,8.899601262566883
D,0.0673837674459952,0.1421971252566735,0.02690073089019992,0.02803369592637682,0.08876954667509082,0.012790916953329736,0.05305249675659089,0.5315348608031534,0.2255965292841649,0.654517254749903,0.3337888623163649,0.001063669660328132,8.34744305563957e-05,0.2483660130718954,0.07311977715877438,0.04284852142426071,0.006999035526959002,0.05883382604636689,0.5055752870240355,2.4863928267566948e-05,0.2442748091603053,0.17889221556886226,0.0007694557056166243,0.12230603448275865,0.04844459637642233,0.008931681533871482,0.3811297277339993,3.990296631481029
DTE,0.04898213174504401,0.12541462644132048,0.011334883512372607,0.02487895408461568,0.04738587900805559,0.00616135933567866,0.01294817293258929,0.32889874353288984,0.22149915642323453,0.658278402481582,0.10078578749572945,0.0016456775876774873,0.0003539685825366497,0.1282051282051282,0.06406685236768803,0.051297525648762825,0.016752764602518195,0.06702193869612572,0.5055477547424354,1.3319961571910864e-06,0.35114503816793885,0.2642215568862275,0.0008241582544738439,0.06950431034482758,0.07076231869902817,0.019311590361810724,0.5448015919204725,5.626731508509646
