Date,ALB,APD,CE,CF,CTVA,DD,DOW,ECL,EMN,FCX,FMC,IFF,LIN,LYB,MLM,MOS,NEM,NUE,PPG,ROP,SHW,STLD,VMC
2018-07-30,86.82127380371094,143.65135192871094,103.03278350830078,38.697689056396484,,87.2667236328125,,133.39361572265625,85.97325134277344,15.142058372497559,70.47338104248047,114.1921615600586,152.13011169433594,81.53401947021484,193.65431213378906,28.092878341674805,31.216108322143555,59.473506927490234,100.6456298828125,286.0662536621094,140.3125,42.1312370300293,111.78024291992188
2018-07-31,88.49345397949219,146.2707977294922,105.5987777709961,39.11150360107422,,88.19003295898438,,133.35569763183594,87.87285614013672,15.537561416625977,71.05044555664062,116.30339813232422,154.11753845214844,82.78944396972656,191.46530151367188,28.49028968811035,31.17361831665039,59.225746154785156,101.48939514160156,293.493408203125,140.4559326171875,41.71489334106445,106.79337310791016
2018-08-01,85.49671936035156,144.37307739257812,104.75836181640625,38.856163024902344,,87.15129852294922,,137.1468963623047,86.39728546142578,14.671224594116211,69.77772521972656,115.97051239013672,152.25897216796875,82.28129577636719,193.6062774658203,27.941486358642578,30.969650268554688,58.12847137451172,100.63645935058594,290.1103515625,139.6655731201172,40.58985137939453,108.14735412597656
2018-08-02,86.44552612304688,142.54656982421875,102.98808288574219,43.58442687988281,,85.20206451416016,,138.70130920410156,84.82841491699219,14.529973983764648,68.4101333618164,115.78653717041016,150.8235626220703,81.05577087402344,196.59222412109375,28.471364974975586,30.791170120239258,57.11086654663086,100.26042938232422,288.29229736328125,139.70384216308594,39.526824951171875,109.3392333984375
2018-08-03,86.99979400634766,142.5198516845703,103.62289428710938,43.205810546875,,85.68937683105469,,139.44058227539062,86.49056243896484,14.793641090393066,69.39826965332031,117.56489562988281,151.8546905517578,83.80570220947266,198.7045440673828,28.811992645263672,30.98664093017578,57.04890823364258,101.7553482055664,286.8244323730469,141.14109802246094,39.19020462036133,109.17716217041016
2018-08-06,87.0467529296875,143.4108123779297,104.24873352050781,43.232208251953125,,86.89483642578125,,140.43577575683594,86.31245422363281,14.501723289489746,69.63543701171875,117.4773178100586,146.07493591308594,84.4483642578125,199.0309600830078,28.48082160949707,30.7741756439209,56.641868591308594,101.17756652832031,287.3495178222656,141.6350860595703,39.305362701416016,109.45367431640625
2018-08-07,87.18765258789062,143.3751983642578,104.48119354248047,42.88882064819336,,87.38214874267578,,141.18455505371094,86.25311279296875,14.464056015014648,68.77378845214844,117.59120178222656,145.21490478515625,84.73979949951172,200.2214813232422,29.994752883911133,30.655189514160156,57.11086654663086,100.84738159179688,291.0922546386719,141.5267333984375,39.96090316772461,110.43578338623047
2018-08-08,92.78662109375,143.1345977783203,104.67790222167969,42.76555252075195,,86.76659393310547,,140.67271423339844,86.03260803222656,14.492307662963867,70.44966888427734,117.6174545288086,145.2333984375,84.4931869506836,197.24514770507812,29.84336280822754,30.731679916381836,57.022361755371094,100.19622802734375,288.3993835449219,141.38966369628906,39.783721923828125,108.6622543334961
2018-08-09,94.65606689453125,142.98312377929688,105.18751525878906,43.804527282714844,,88.51065063476562,,140.1230010986328,86.27855682373047,14.416975021362305,71.33501434326172,117.7839126586914,145.32586669921875,84.72483825683594,195.4017333984375,30.33538818359375,30.349231719970703,56.110931396484375,100.60154724121094,287.2425231933594,141.51394653320312,39.24334716796875,107.66107177734375
2018-08-10,92.5329818725586,140.65773010253906,104.16828155517578,43.381893157958984,,86.86917114257812,,139.1941375732422,84.69274139404297,14.2286376953125,69.37458038330078,115.9968032836914,143.14341735839844,84.11957550048828,192.14698791503906,29.796051025390625,30.25574493408203,56.14632034301758,98.989501953125,285.0843811035156,141.1761932373047,38.63211441040039,105.37265014648438
2018-08-13,89.83682250976562,144.72940063476562,103.66758728027344,42.668697357177734,,85.39442443847656,,138.3505859375,83.83624267578125,14.049720764160156,67.8488998413086,114.98057556152344,142.70883178710938,83.37977600097656,192.9822540283203,28.70791244506836,29.4483585357666,55.889705657958984,97.71826934814453,283.96636962890625,138.67759704589844,38.694129943847656,105.21054077148438
2018-08-14,91.4338607788086,146.4133758544922,104.34709167480469,42.52694320678711,,86.63834381103516,,139.36476135253906,83.98887634277344,13.936720848083496,67.69080352783203,115.02438354492188,143.65208435058594,84.58287048339844,194.66246032714844,28.99177360534668,28.844942092895508,56.2436637878418,98.4275894165039,286.6592712402344,139.05690002441406,38.62325668334961,106.18312072753906
2018-08-15,89.75228118896484,146.3064727783203,102.38013458251953,41.720703125,,85.22769165039062,,138.44540405273438,82.0299301147461,12.863216400146484,66.23626708984375,114.90171813964844,142.9954833984375,82.76702117919922,194.93125915527344,28.055030822753906,27.02619743347168,54.07567596435547,98.59339141845703,285.3079528808594,139.7834930419922,37.68425750732422,104.71470642089844
2018-08-16,91.18018341064453,146.76084899902344,103.02388000488281,41.89790344238281,,86.02279663085938,,139.0330352783203,82.52178192138672,12.966802597045898,66.81333923339844,115.30470275878906,142.90298461914062,83.65625762939453,194.43199157714844,28.036108016967773,26.856224060058594,54.65086364746094,99.39482116699219,286.9314270019531,141.2491455078125,38.437225341796875,104.72425079345703
2018-08-17,89.65835571289062,148.44479370117188,103.43511962890625,42.10166931152344,,86.93329620361328,,139.6206512451172,82.8440170288086,13.155134201049805,66.75009155273438,115.77779388427734,144.29937744140625,84.515625,194.90245056152344,28.036108016967773,27.24717140197754,55.199493408203125,99.87381744384766,289.5854187011719,141.58120727539062,38.7384147644043,105.21054077148438
